"";"     [ALL]      ";"       0        ";"       1        ";"p.overall"
"";"     N=408      ";"     N=272      ";"     N=136      ";"         "
"Edat";"  82.0 (8.84)   ";"  82.1 (8.80)   ";"  82.0 (8.97)   ";"  0.931  "
"Sexe:";"                ";"                ";"                ";"  1.000  "
"    F";"  300 (79.2%)   ";"  200 (79.1%)   ";"  100 (79.4%)   ";"         "
"    M";"   79 (20.8%)   ";"   53 (20.9%)   ";"   26 (20.6%)   ";"         "
"ServeiAlta:";"                ";"                ";"                ";" <0.001  "
"    CGURG";"   31 (7.60%)   ";"   31 (11.4%)   ";"   0 (0.00%)    ";"         "
"    GOURG";"   2 (0.49%)    ";"   2 (0.74%)    ";"   0 (0.00%)    ";"         "
"    MDURG";"  225 (55.1%)   ";"  225 (82.7%)   ";"   0 (0.00%)    ";"         "
"    MED";"   2 (0.49%)    ";"   0 (0.00%)    ";"   2 (1.47%)    ";"         "
"    PSURG";"   1 (0.25%)    ";"   1 (0.37%)    ";"   0 (0.00%)    ";"         "
"    TOURG";"   13 (3.19%)   ";"   13 (4.78%)   ";"   0 (0.00%)    ";"         "
"    TRA";"  134 (32.8%)   ";"   0 (0.00%)    ";"  134 (98.5%)   ";"         "
"PES";"  67.4 (13.1)   ";"  68.5 (13.7)   ";"  65.0 (11.6)   ";"  0.098  "
"TALLA";"   154 (8.47)   ";"   154 (8.70)   ";"   152 (7.83)   ";"  0.262  "
"IMC";"28.1 [25.4;31.7]";"28.7 [25.5;32.1]";"27.4 [24.7;29.3]";"  0.136  "
"ALCOHOL:";"                ";"                ";"                ";"  0.197  "
"    0";"  379 (92.9%)   ";"  251 (92.3%)   ";"  128 (94.1%)   ";"         "
"    1";"   26 (6.37%)   ";"   20 (7.35%)   ";"   6 (4.41%)    ";"         "
"    2";"   3 (0.74%)    ";"   1 (0.37%)    ";"   2 (1.47%)    ";"         "
"Smoker:";"                ";"                ";"                ";"  0.756  "
"    0";"  362 (88.7%)   ";"  241 (88.6%)   ";"  121 (89.0%)   ";"         "
"    1";"   15 (3.68%)   ";"   9 (3.31%)    ";"   6 (4.41%)    ";"         "
"    2";"   31 (7.60%)   ";"   22 (8.09%)   ";"   9 (6.62%)    ";"         "
"Hipogonad: 0";"   408 (100%)   ";"   272 (100%)   ";"   136 (100%)   ";"    .    "
"Artritis_reumatoide:";"                ";"                ";"                ";"  1.000  "
"    0";"  404 (99.0%)   ";"  269 (98.9%)   ";"  135 (99.3%)   ";"         "
"    1";"   4 (0.98%)    ";"   3 (1.10%)    ";"   1 (0.74%)    ";"         "
"Fractura:";"                ";"                ";"                ";" <0.001  "
"    0";"  296 (72.5%)   ";"  218 (80.1%)   ";"   78 (57.4%)   ";"         "
"    1";"  112 (27.5%)   ";"   54 (19.9%)   ";"   58 (42.6%)   ";"         "
