FE_b	FE_12m
9	27
10	29
11	40
11	16
12	41
12	19
14	30
15	50
15	45
15	26
15	23
15	21
15	20
15	18
16	25
16	24
16	14
17	43
17	32
17	26
18	38
18	32
18	23
18	20
18	18
19	41
19	29
20	52
20	48
20	38
20	36
20	32
20	31
20	30
20	24
20	24
20	24
20	22
20	22
20	22
21	39
21	31
21	30
21	29
21	27
21	23
21	22
21	22
21	20
21	19
22	45
22	34
22	33
22	33
22	31
22	29
22	25
22	25
22	20
23	56
23	40
23	36
23	35
23	35
23	32
23	30
23	30
23	29
23	29
23	28
23	25
23	23
23	22
23	19
23	18
23	17
24	39
24	35
24	34
24	32
24	31
24	31
24	30
24	28
24	25
24	24
25	38
25	35
25	34
25	32
25	30
25	30
25	30
25	29
25	29
25	28
25	28
25	28
25	25
25	20
26	38
26	37
26	36
26	31
26	25
26	22
27	52
27	51
27	34
27	32
27	32
27	31
27	30
27	28
27	23
27	16
28	48
28	45
28	39
28	38
28	32
28	30
28	30
28	29
28	28
28	28
28	27
28	27
28	26
28	26
28	24
29	55
29	52
29	43
29	38
29	30
29	30
29	25
30	44
30	41
30	41
30	40
30	33
30	31
31	45
31	40
31	37
31	37
31	34
31	32
31	28
31	21
32	46
32	44
32	41
32	37
32	33
32	33
32	31
32	28
32	25
32	17
33	52
33	45
33	45
33	44
33	43
33	38
33	33
33	28
34	48
34	46
34	43
34	39
34	38
34	26
35	69
35	53
35	49
35	41
35	40
35	40
35	39
35	30
